result,white_elo,black_elo,opening,num_moves,moves
0-1,1028,1132,Three Knights Opening,21,1. e4 { [%clk 0:05:00] } 1... e5 { [%clk 0:05:00] } 2. Nf3 { [%clk 0:05:01] } 2... Nc6 { [%clk 0:05:02] } 3. Nc3 { [%clk 0:05:00] } 3... d6 { [%clk 0:05:01] } 4. Bb5 { [%clk 0:05:01] } 4... Bd7 { [%clk 0:05:00] } 5. O-O { [%clk 0:04:55] } 5... f5 { [%clk 0:04:26] } 6. d3 { [%clk 0:04:46] } 6... f4 { [%clk 0:04:25] } 7. h3 { [%clk 0:04:45] } 7... h5 { [%clk 0:04:21] } 8. Bxc6 { [%clk 0:04:33] } 8... bxc6 { [%clk 0:04:18] } 9. d4 { [%clk 0:04:32] } 9... g5 { [%clk 0:04:05] } 10. dxe5 { [%clk 0:04:29] } 10... dxe5 { [%clk 0:04:07] } 11. Nxe5 { [%clk 0:04:17] } 11... Nf6 { [%clk 0:03:15] } 12. Ng6 { [%clk 0:03:44] } 12... Rh6 { [%clk 0:03:16] } 13. Nxf8 { [%clk 0:03:43] } 13... Kxf8 { [%clk 0:03:17] } 14. f3 { [%clk 0:03:35] } 14... Qc8 { [%clk 0:02:41] } 15. b3 { [%clk 0:03:26] } 15... g4 { [%clk 0:02:42] } 16. Ba3+ { [%clk 0:03:26] } 16... Kf7 { [%clk 0:02:31] } 17. e5 { [%clk 0:03:20] } 17... Nh7 { [%clk 0:01:58] } 18. Ne4 { [%clk 0:02:59] } 18... gxh3 { [%clk 0:01:44] } 19. gxh3 { [%clk 0:02:54] } 19... Bxh3 { [%clk 0:01:23] } 20. Re1 { [%clk 0:02:55] } 20... Qg8+ { [%clk 0:00:57] } 21. Kf2 { [%clk 0:02:52] } 21... Qg2# { [%clk 0:00:52] }
0-1,1276,1333,Petrov's Defense,34,1. e4 { [%clk 0:05:00] } 1... e5 { [%clk 0:05:00] } 2. Nf3 { [%clk 0:05:01] } 2... Nf6 { [%clk 0:04:56] } 3. d3 { [%clk 0:05:02] } 3... d6 { [%clk 0:04:58] } 4. Be2 { [%clk 0:05:03] } 4... b6 { [%clk 0:04:56] } 5. Nc3 { [%clk 0:05:05] } 5... Bb7 { [%clk 0:04:58] } 6. O-O { [%clk 0:05:05] } 6... Be7 { [%clk 0:04:59] } 7. Be3 { [%clk 0:05:01] } 7... O-O { [%clk 0:05:01] } 8. Ng5 { [%clk 0:04:45] } 8... h6 { [%clk 0:05:00] } 9. Nh3 { [%clk 0:04:32] } 9... Nbd7 { [%clk 0:04:59] } 10. Bxh6 { [%clk 0:04:34] } 10... gxh6 { [%clk 0:05:00] } 11. f4 { [%clk 0:04:33] } 11... Re8 { [%clk 0:05:01] } 12. f5 { [%clk 0:04:22] } 12... Bf8 { [%clk 0:05:01] } 13. Rf3 { [%clk 0:04:13] } 13... Bg7 { [%clk 0:05:02] } 14. Rg3 { [%clk 0:04:12] } 14... Qe7 { [%clk 0:05:02] } 15. Qd2 { [%clk 0:03:55] } 15... Nf8 { [%clk 0:05:01] } 16. Qxh6 { [%clk 0:03:49] } 16... Ng6 { [%clk 0:04:28] } 17. Rxg6 { [%clk 0:03:33] } 17... fxg6 { [%clk 0:04:29] } 18. Qxg6 { [%clk 0:03:29] } 18... Nh7 { [%clk 0:04:27] } 19. Rf1 { [%clk 0:03:14] } 19... Qf6 { [%clk 0:04:27] } 20. Rf3 { [%clk 0:02:37] } 20... Re7 { [%clk 0:04:18] } 21. Rg3 { [%clk 0:02:32] } 21... Bc6 { [%clk 0:04:17] } 22. Qxf6 { [%clk 0:02:22] } 22... Nxf6 { [%clk 0:04:16] } 23. Ng5 { [%clk 0:02:19] } 23... d5 { [%clk 0:04:08] } 24. exd5 { [%clk 0:02:15] } 24... Nxd5 { [%clk 0:03:58] } 25. Ne6 { [%clk 0:02:03] } 25... Nf6 { [%clk 0:03:50] } 26. h4 { [%clk 0:01:22] } 26... Kf7 { [%clk 0:03:51] } 27. Nxg7 { [%clk 0:00:58] } 27... Rg8 { [%clk 0:03:51] } 28. Ne4 { [%clk 0:00:11] } 28... Bxe4 { [%clk 0:03:47] } 29. dxe4 { [%clk 0:00:10] } 29... Rxg7 { [%clk 0:03:48] } 30. Bc4+ { [%clk 0:00:11] } 30... Kf8 { [%clk 0:03:46] } 31. Rd3 { [%clk 0:00:11] } 31... Nxe4 { [%clk 0:03:39] } 32. Rd8+ { [%clk 0:00:12] } 32... Re8 { [%clk 0:03:39] } 33. Rxe8+ { [%clk 0:00:05] } 33... Kxe8 { [%clk 0:03:38] } 34. Bd5 { [%clk 0:00:05] } 34... Ng3 { [%clk 0:03:29] }
1-0,1789,1675,English Opening: Anglo-Dutch Defense,19,1. c4 { [%clk 0:05:00] } 1... f5 { [%clk 0:05:00] } 2. Nc3 { [%clk 0:05:02] } 2... e6 { [%clk 0:05:02] } 3. g3 { [%clk 0:05:03] } 3... Nf6 { [%clk 0:05:03] } 4. Bg2 { [%clk 0:05:05] } 4... Bb4 { [%clk 0:05:05] } 5. e3 { [%clk 0:05:04] } 5... Bxc3 { [%clk 0:05:06] } 6. bxc3 { [%clk 0:05:01] } 6... O-O { [%clk 0:05:07] } 7. Ne2 { [%clk 0:05:03] } 7... c6 { [%clk 0:05:06] } 8. O-O { [%clk 0:05:05] } 8... d6 { [%clk 0:05:07] } 9. a4 { [%clk 0:05:03] } 9... Nbd7 { [%clk 0:05:08] } 10. Ba3 { [%clk 0:05:05] } 10... c5 { [%clk 0:05:05] } 11. d4 { [%clk 0:05:05] } 11... Rb8 { [%clk 0:04:51] } 12. Rb1 { [%clk 0:05:07] } 12... b6 { [%clk 0:04:51] } 13. a5 { [%clk 0:04:56] } 13... Bb7 { [%clk 0:04:41] } 14. Qa4 { [%clk 0:04:38] } 14... Bxg2 { [%clk 0:04:39] } 15. Kxg2 { [%clk 0:04:41] } 15... Ne4 { [%clk 0:04:39] } 16. Rfd1 { [%clk 0:04:27] } 16... Nef6 { [%clk 0:04:03] } 17. Qc6 { [%clk 0:04:17] } 17... bxa5 { [%clk 0:03:55] } 18. Qxd6 { [%clk 0:04:09] } 18... Rxb1 { [%clk 0:03:56] } 19. Rxb1 { [%clk 0:04:12] } 19... Ne4 { [%clk 0:03:56] } 20. Qxe6+ { [%clk 0:04:07] }
1-0,1433,1359,"Ruy Lopez: Morphy Defense, Caro Variation",33,1. e4 { [%clk 0:05:00] } 1... e5 { [%clk 0:05:00] } 2. Nf3 { [%clk 0:05:01] } 2... Nc6 { [%clk 0:05:01] } 3. Bb5 { [%clk 0:04:47] } 3... a6 { [%clk 0:05:00] } 4. Ba4 { [%clk 0:04:45] } 4... b5 { [%clk 0:05:00] } 5. Bb3 { [%clk 0:04:47] } 5... d6 { [%clk 0:05:02] } 6. O-O { [%clk 0:04:47] } 6... Na5 { [%clk 0:05:02] } 7. Nc3 { [%clk 0:04:47] } 7... Nxb3 { [%clk 0:05:02] } 8. axb3 { [%clk 0:04:50] } 8... c5 { [%clk 0:05:04] } 9. d3 { [%clk 0:04:50] } 9... Nf6 { [%clk 0:05:06] } 10. Bg5 { [%clk 0:04:50] } 10... Bb7 { [%clk 0:05:06] } 11. Qd2 { [%clk 0:04:01] } 11... Rc8 { [%clk 0:05:00] } 12. Nh4 { [%clk 0:04:02] } 12... Be7 { [%clk 0:04:50] } 13. Nf5 { [%clk 0:04:03] } 13... O-O { [%clk 0:04:45] } 14. Nxe7+ { [%clk 0:04:05] } 14... Qxe7 { [%clk 0:04:45] } 15. f4 { [%clk 0:03:23] } 15... h6 { [%clk 0:04:34] } 16. Bh4 { [%clk 0:03:11] } 16... Qe6 { [%clk 0:04:19] } 17. fxe5 { [%clk 0:02:54] } 17... Qxe5 { [%clk 0:03:57] } 18. Bxf6 { [%clk 0:02:49] } 18... gxf6 { [%clk 0:03:56] } 19. Qxh6 { [%clk 0:02:51] } 19... Qg5 { [%clk 0:03:47] } 20. Qxf6 { [%clk 0:02:42] } 20... Qxf6 { [%clk 0:03:47] } 21. Rxf6 { [%clk 0:02:43] } 21... Kg7 { [%clk 0:03:16] } 22. Raf1 { [%clk 0:02:40] } 22... Rc7 { [%clk 0:03:17] } 23. h4 { [%clk 0:02:12] } 23... Re7 { [%clk 0:03:15] } 24. h5 { [%clk 0:02:07] } 24... Rh8 { [%clk 0:02:55] } 25. g4 { [%clk 0:01:45] } 25... Rh6 { [%clk 0:02:44] } 26. Rxh6 { [%clk 0:01:35] } 26... Kxh6 { [%clk 0:02:45] } 27. Rf6+ { [%clk 0:01:28] } 27... Kg7 { [%clk 0:02:07] } 28. Rxd6 { [%clk 0:01:29] } 28... b4 { [%clk 0:01:54] } 29. Nd5 { [%clk 0:01:21] } 29... Bxd5 { [%clk 0:01:24] } 30. Rxd5 { [%clk 0:01:24] } 30... Re6 { [%clk 0:01:17] } 31. Rxc5 { [%clk 0:01:21] } 31... Kh6 { [%clk 0:01:09] } 32. Rf5 { [%clk 0:01:13] } 32... f6 { [%clk 0:01:05] } 33. c4 { [%clk 0:01:08] } 33... Rc6 { [%clk 0:00:58] } 34. Kf2 { [%clk 0:01:02] }
1-0,1949,1836,"Grünfeld Defense: Three Knights Variation, Hungarian Variation",20,1. d4 { [%eval 0.17] [%clk 0:05:00] } 1... Nf6 { [%eval 0.19] [%clk 0:05:00] } 2. Nf3 { [%eval 0.11] [%clk 0:05:01] } 2... g6 { [%eval 0.22] [%clk 0:05:01] } 3. Bf4 { [%eval 0.1] [%clk 0:05:01] } 3... Bg7 { [%eval 0.18] [%clk 0:05:01] } 4. e3 { [%eval 0.02] [%clk 0:05:03] } 4... d5 { [%eval 0.16] [%clk 0:05:02] } 5. c4 { [%eval -0.05] [%clk 0:05:05] } 5... O-O { [%eval -0.04] [%clk 0:05:02] } 6. Nc3 { [%eval -0.05] [%clk 0:05:07] } 6... c5 { [%eval -0.01] [%clk 0:05:04] } 7. Bd3 { [%eval -0.39] [%clk 0:05:09] } 7... Nc6 { [%eval -0.1] [%clk 0:05:02] } 8. O-O { [%eval -0.25] [%clk 0:05:10] } 8... cxd4 { [%eval -0.21] [%clk 0:05:00] } 9. exd4 { [%eval -0.55] [%clk 0:05:11] } 9... dxc4 $6 { [%eval 0.02] [%clk 0:05:00] } 10. Bxc4 { [%eval -0.06] [%clk 0:05:12] } 10... Na5 { [%eval -0.04] [%clk 0:04:47] } 11. Be2 { [%eval -0.09] [%clk 0:05:12] } 11... Nd5 { [%eval 0.17] [%clk 0:04:44] } 12. Bg5 { [%eval -0.33] [%clk 0:05:10] } 12... Nxc3 { [%eval 0.08] [%clk 0:04:28] } 13. bxc3 { [%eval 0.03] [%clk 0:05:11] } 13... h6 { [%eval 0.03] [%clk 0:04:30] } 14. Bh4 { [%eval -0.28] [%clk 0:05:12] } 14... g5 $6 { [%eval 0.42] [%clk 0:04:31] } 15. Bg3 { [%eval 0.5] [%clk 0:05:14] } 15... Bf5 { [%eval 0.44] [%clk 0:04:26] } 16. Re1 { [%eval 0.41] [%clk 0:05:12] } 16... Rc8 { [%eval 0.34] [%clk 0:04:22] } 17. Rc1 { [%eval 0.39] [%clk 0:05:12] } 17... Nc4 { [%eval 0.67] [%clk 0:04:22] } 18. Qb3 { [%eval 0.47] [%clk 0:05:04] } 18... Be6 { [%eval 0.96] [%clk 0:04:14] } 19. Bxc4 { [%eval 0.47] [%clk 0:04:57] } 19... Bxc4 { [%eval 0.47] [%clk 0:04:14] } 20. Qxb7 { [%eval 0.57] [%clk 0:04:58] } 20... Rc7 $4 { [%eval 5.5] [%clk 0:04:08] } 21. Qxc7 { [%eval 5.44] [%clk 0:04:57] }
1-0,1159,1274,Scotch Game: Classical Variation,21,1. e4 { [%eval 0.18] [%clk 0:05:00] } 1... e5 { [%eval 0.21] [%clk 0:05:00] } 2. Nf3 { [%eval 0.13] [%clk 0:04:57] } 2... Nc6 { [%eval 0.21] [%clk 0:05:01] } 3. d4 { [%eval 0.13] [%clk 0:04:58] } 3... exd4 { [%eval 0.04] [%clk 0:04:58] } 4. Nxd4 { [%eval 0.06] [%clk 0:04:59] } 4... Bc5 { [%eval 0.16] [%clk 0:04:55] } 5. Be3 { [%eval 0.18] [%clk 0:04:58] } 5... d6 $2 { [%eval 1.99] [%clk 0:04:55] } 6. Bb5 $2 { [%eval 0.28] [%clk 0:04:39] } 6... Bd7 { [%eval 0.44] [%clk 0:04:35] } 7. Nxc6 { [%eval 0.4] [%clk 0:04:28] } 7... bxc6 { [%eval 0.36] [%clk 0:04:35] } 8. Bxc5 { [%eval 0.36] [%clk 0:04:27] } 8... cxb5 { [%eval 0.4] [%clk 0:04:35] } 9. Bd4 { [%eval 0.42] [%clk 0:04:21] } 9... Nf6 { [%eval 0.45] [%clk 0:04:36] } 10. O-O { [%eval 0.22] [%clk 0:04:21] } 10... O-O { [%eval 0.4] [%clk 0:04:36] } 11. e5 { [%eval 0.01] [%clk 0:04:17] } 11... dxe5 { [%eval -0.01] [%clk 0:04:37] } 12. Bxe5 { [%eval 0.03] [%clk 0:04:17] } 12... Re8 { [%eval 0.55] [%clk 0:04:27] } 13. Re1 { [%eval 0.04] [%clk 0:04:17] } 13... c5 { [%eval 0.08] [%clk 0:03:59] } 14. a3 { [%eval -0.15] [%clk 0:04:17] } 14... a5 { [%eval -0.09] [%clk 0:03:55] } 15. b3 $6 { [%eval -0.66] [%clk 0:04:14] } 15... b4 { [%eval -0.13] [%clk 0:02:23] } 16. axb4 { [%eval -0.12] [%clk 0:04:13] } 16... cxb4 { [%eval -0.1] [%clk 0:02:11] } 17. Qf3 $4 { [%eval -4.35] [%clk 0:04:09] } 17... Qb6 $4 { [%eval 0.14] [%clk 0:01:19] } 18. Nd2 { [%eval 0.14] [%clk 0:03:53] } 18... Bc6 { [%eval 0.53] [%clk 0:01:00] } 19. Qg3 { [%eval 0.13] [%clk 0:03:49] } 19... Bb7 $2 { [%eval 2.12] [%clk 0:00:39] } 20. Nc4 { [%eval 2.08] [%clk 0:03:44] } 20... Qe6 $2 { [%eval 3.27] [%clk 0:00:39] } 21. Nd6 { [%eval 3.41] [%clk 0:03:27] } 21... Nh5 { [%eval 3.98] [%clk 0:00:18] } 22. Qg5 { [%eval 3.9] [%clk 0:03:07] }
0-1,1028,965,Scandinavian Defense: Main Line,14,1. e4 { [%clk 0:05:00] } 1... d5 { [%clk 0:05:00] } 2. exd5 { [%clk 0:05:02] } 2... Qxd5 { [%clk 0:05:01] } 3. Nc3 { [%clk 0:05:04] } 3... Qa5 { [%clk 0:05:03] } 4. Nf3 { [%clk 0:05:06] } 4... e5 { [%clk 0:05:03] } 5. Qe2 { [%clk 0:05:07] } 5... Nc6 { [%clk 0:05:03] } 6. d3 { [%clk 0:05:06] } 6... Bb4 { [%clk 0:05:05] } 7. Bd2 { [%clk 0:05:07] } 7... Bg4 { [%clk 0:04:57] } 8. Ne4 { [%clk 0:04:58] } 8... Bxd2+ { [%clk 0:04:38] } 9. Nexd2 { [%clk 0:04:59] } 9... f5 { [%clk 0:04:36] } 10. h3 { [%clk 0:04:55] } 10... Bxf3 { [%clk 0:04:27] } 11. Qxf3 { [%clk 0:04:49] } 11... Nd4 { [%clk 0:04:08] } 12. Qh5+ { [%clk 0:04:42] } 12... g6 { [%clk 0:03:58] } 13. Qg5 { [%clk 0:04:43] } 13... Nxc2+ { [%clk 0:03:41] } 14. Ke2 { [%clk 0:04:42] } 14... Nxa1 { [%clk 0:03:44] } 15. Qe3 { [%clk 0:04:43] }
0-1,2115,2030,"French Defense: Tarrasch Variation, Closed Variation",46,1. e4 { [%clk 0:05:00] } 1... e6 { [%clk 0:05:00] } 2. d4 { [%clk 0:05:02] } 2... d5 { [%clk 0:05:03] } 3. Nd2 { [%clk 0:05:03] } 3... Nf6 { [%clk 0:05:02] } 4. e5 { [%clk 0:05:04] } 4... Nfd7 { [%clk 0:05:05] } 5. g3 { [%clk 0:05:04] } 5... c5 { [%clk 0:05:07] } 6. c3 { [%clk 0:05:06] } 6... Nc6 { [%clk 0:05:08] } 7. Ngf3 { [%clk 0:05:05] } 7... f6 { [%clk 0:04:58] } 8. exf6 { [%clk 0:04:58] } 8... Qxf6 { [%clk 0:04:58] } 9. Nb3 { [%clk 0:04:53] } 9... cxd4 { [%clk 0:04:49] } 10. Bg5 { [%clk 0:04:39] } 10... Qf7 { [%clk 0:04:46] } 11. Nbxd4 { [%clk 0:04:34] } 11... e5 { [%clk 0:04:42] } 12. Nxc6 { [%clk 0:04:26] } 12... bxc6 { [%clk 0:04:43] } 13. Bg2 { [%clk 0:04:03] } 13... Bd6 { [%clk 0:04:28] } 14. O-O { [%clk 0:04:02] } 14... O-O { [%clk 0:04:28] } 15. Qa4 { [%clk 0:03:43] } 15... e4 { [%clk 0:03:53] } 16. Nd4 { [%clk 0:03:41] } 16... Ne5 { [%clk 0:03:54] } 17. Nxc6 { [%clk 0:03:15] } 17... Qe8 { [%clk 0:03:55] } 18. c4 { [%clk 0:02:35] } 18... Qxc6 { [%clk 0:03:18] } 19. Qxc6 { [%clk 0:02:36] } 19... Nxc6 { [%clk 0:03:19] } 20. cxd5 { [%clk 0:02:38] } 20... Ne5 { [%clk 0:03:14] } 21. Bxe4 { [%clk 0:02:40] } 21... Bh3 { [%clk 0:03:06] } 22. Rfd1 { [%clk 0:02:27] } 22... Nf3+ { [%clk 0:03:00] } 23. Bxf3 { [%clk 0:02:28] } 23... Rxf3 { [%clk 0:03:01] } 24. Be3 { [%clk 0:02:26] } 24... a5 { [%clk 0:02:55] } 25. Rac1 { [%clk 0:02:27] } 25... Bd7 { [%clk 0:02:39] } 26. Kg2 { [%clk 0:02:17] } 26... Rff8 { [%clk 0:02:39] } 27. b3 { [%clk 0:02:11] } 27... Rac8 { [%clk 0:02:36] } 28. Bb6 { [%clk 0:02:02] } 28... a4 { [%clk 0:02:23] } 29. f4 { [%clk 0:01:32] } 29... axb3 { [%clk 0:02:19] } 30. axb3 { [%clk 0:01:18] } 30... Rxc1 { [%clk 0:02:19] } 31. Rxc1 { [%clk 0:01:19] } 31... Rb8 { [%clk 0:02:21] } 32. Bc7 { [%clk 0:01:20] } 32... Rc8 { [%clk 0:02:22] } 33. Bxd6 { [%clk 0:01:15] } 33... Rxc1 { [%clk 0:02:23] } 34. Kf3 { [%clk 0:00:59] } 34... Rc3+ { [%clk 0:02:11] } 35. Ke4 { [%clk 0:00:59] } 35... Rxb3 { [%clk 0:02:12] } 36. Be5 { [%clk 0:00:58] } 36... g6 { [%clk 0:02:08] } 37. Bf6 { [%clk 0:00:50] } 37... Kf7 { [%clk 0:02:03] } 38. Bd8 { [%clk 0:00:45] } 38... Bf5+ { [%clk 0:01:46] } 39. Ke5 { [%clk 0:00:43] } 39... Ke8 { [%clk 0:01:47] } 40. Bf6 { [%clk 0:00:41] } 40... Kd7 { [%clk 0:01:47] } 41. Kd4 { [%clk 0:00:35] } 41... h5 { [%clk 0:01:41] } 42. Kc4 { [%clk 0:00:33] } 42... Rd3 { [%clk 0:01:30] } 43. Bd4 { [%clk 0:00:23] } 43... Be4 { [%clk 0:01:23] } 44. Kc5 { [%clk 0:00:18] } 44... Rd2 { [%clk 0:01:18] } 45. h4 { [%clk 0:00:19] } 45... Rc2+ { [%clk 0:01:09] } 46. Kb4 { [%clk 0:00:13] } 46... Kd6 { [%clk 0:01:10] }
0-1,800,843,Queen's Pawn Game,6,1. d4 { [%clk 0:05:00] } 1... d5 { [%clk 0:05:00] } 2. b3 { [%clk 0:05:02] } 2... Nc6 { [%clk 0:04:58] } 3. Bb2 { [%clk 0:05:03] } 3... Bf5 { [%clk 0:04:51] } 4. Nc3 { [%clk 0:04:54] } 4... Nb4 { [%clk 0:04:49] } 5. Rc1 { [%clk 0:04:35] } 5... e6 { [%clk 0:04:36] } 6. e4 { [%clk 0:04:34] } 6... dxe4 { [%clk 0:04:35] }
0-1,1468,1548,King's Knight Opening: Normal Variation,38,1. e4 { [%clk 0:05:00] } 1... e5 { [%clk 0:05:00] } 2. Nf3 { [%clk 0:04:57] } 2... Nc6 { [%clk 0:05:02] } 3. a3 { [%clk 0:04:50] } 3... Nf6 { [%clk 0:05:02] } 4. d3 { [%clk 0:04:48] } 4... h6 { [%clk 0:04:49] } 5. Be2 { [%clk 0:04:46] } 5... Bc5 { [%clk 0:04:43] } 6. O-O { [%clk 0:04:20] } 6... d6 { [%clk 0:04:40] } 7. c4 { [%clk 0:04:14] } 7... Nd4 { [%clk 0:04:34] } 8. b4 { [%clk 0:04:03] } 8... Nxe2+ { [%clk 0:04:18] } 9. Qxe2 { [%clk 0:04:00] } 9... Bb6 { [%clk 0:04:09] } 10. Be3 { [%clk 0:03:55] } 10... Bg4 { [%clk 0:04:05] } 11. Bxb6 { [%clk 0:03:50] } 11... axb6 { [%clk 0:04:08] } 12. Nc3 { [%clk 0:03:49] } 12... Nh5 { [%clk 0:04:06] } 13. h3 { [%clk 0:03:47] } 13... Nf4 { [%clk 0:04:07] } 14. hxg4 { [%clk 0:03:30] } 14... Nxe2+ { [%clk 0:04:05] } 15. Nxe2 { [%clk 0:03:30] } 15... f6 { [%clk 0:03:56] } 16. d4 { [%clk 0:03:27] } 16... Qd7 { [%clk 0:03:52] } 17. Nh2 { [%clk 0:03:20] } 17... h5 { [%clk 0:03:47] } 18. f3 { [%clk 0:03:09] } 18... hxg4 { [%clk 0:03:45] } 19. fxg4 { [%clk 0:03:11] } 19... g5 { [%clk 0:03:39] } 20. Ng3 { [%clk 0:03:05] } 20... Qh7 { [%clk 0:03:38] } 21. Nh5 { [%clk 0:03:00] } 21... Qxe4 { [%clk 0:03:31] } 22. dxe5 { [%clk 0:02:57] } 22... Qd4+ { [%clk 0:03:15] } 23. Kh1 { [%clk 0:02:52] } 23... fxe5 { [%clk 0:03:10] } 24. Rae1 { [%clk 0:02:39] } 24... O-O-O { [%clk 0:03:07] } 25. Rc1 { [%clk 0:02:28] } 25... Qd3 { [%clk 0:02:57] } 26. Nf3 { [%clk 0:02:15] } 26... Qxa3 { [%clk 0:02:52] } 27. Nxg5 { [%clk 0:02:16] } 27... Rdg8 { [%clk 0:02:48] } 28. Nf7 { [%clk 0:02:06] } 28... Rh7 { [%clk 0:02:45] } 29. Ra1 { [%clk 0:01:46] } 29... Qd3 { [%clk 0:02:27] } 30. Rf3 { [%clk 0:01:29] } 30... Qg6 { [%clk 0:01:49] } 31. Ra8+ { [%clk 0:01:14] } 31... Kd7 { [%clk 0:01:49] } 32. Rxg8 { [%clk 0:01:13] } 32... Qxg8 { [%clk 0:01:44] } 33. Kg1 { [%clk 0:01:08] } 33... Rxf7 { [%clk 0:01:34] } 34. Nf6+ { [%clk 0:01:08] } 34... Rxf6 { [%clk 0:01:35] } 35. Rxf6 { [%clk 0:01:09] } 35... Qxg4 { [%clk 0:01:36] } 36. Rf3 { [%clk 0:01:03] } 36... Qxc4 { [%clk 0:01:35] } 37. Rf7+ { [%clk 0:01:03] } 37... Kc6 { [%clk 0:01:35] } 38. Kh2 { [%clk 0:01:00] } 38... Qxf7 { [%clk 0:01:36] }
